age,annual_income,spending_score,online_visits_per_month,avg_cart_value,product_categories_visited,days_since_last_purchase,customer_tenure_mths
53.5,93730.89,77.9,9.9,149.78,4,38.4,7.0
34.9,69979.32,33.3,11.7,82.8,3,34.4,21.5
24.4,40712.33,51.2,13.6,108.68,5,3.7,1.7
43.2,27043.93,51.0,6.6,89.46,2,191.9,16.2
22.8,40328.95,42.0,10.1,71.41,7,1.3,4.5
37.1,55584.01,62.1,17.1,79.52,4,49.7,5.4
18.0,40141.42,46.3,11.3,120.9,7,0.5,3.5
21.7,61745.64,68.8,9.4,114.12,3,10.1,5.8
37.0,101288.42,39.6,6.0,72.28,1,18.3,2.1
42.4,68378.32,47.3,10.4,88.12,7,17.5,11.0
36.7,57036.31,48.0,8.4,139.6,2,6.0,8.2
33.8,53890.38,8.1,8.4,106.09,3,20.6,16.9
32.0,60078.87,33.7,4.7,112.21,2,53.9,18.4
20.2,31605.95,29.3,4.5,147.39,2,80.7,6.4
27.8,56645.22,63.2,8.2,149.18,1,53.7,19.8
30.4,65331.14,41.0,12.0,101.4,6,44.6,40.4
45.6,72650.7,41.5,7.1,87.19,6,11.6,17.6
38.4,71899.78,65.8,9.3,177.54,8,24.9,32.7
18.0,55074.95,24.3,14.2,122.27,2,347.5,7.2
38.2,27154.74,9.1,4.5,70.91,2,1.6,11.3
31.1,69656.74,47.5,10.4,70.45,3,13.8,17.7
28.2,41164.33,22.6,12.1,35.15,2,8.8,26.7
41.1,42976.63,23.7,14.2,59.88,4,6.6,7.8
45.3,46158.96,54.4,14.7,95.19,4,65.7,20.1
44.3,76121.07,68.0,17.4,147.46,6,11.6,11.3
26.6,48834.76,58.5,10.9,133.98,4,24.7,44.8
31.9,23886.93,55.8,8.8,114.61,4,3.1,13.8
38.3,72210.86,72.3,12.6,131.52,2,46.3,9.0
44.8,39012.2,11.8,8.6,66.36,7,1.3,16.9
30.2,58963.03,56.4,11.8,75.53,7,12.0,11.8
33.1,63284.71,43.0,5.2,95.74,2,11.3,27.1
23.9,68860.86,41.4,12.1,125.41,4,3.3,21.6
23.0,86064.04,66.2,7.3,114.25,4,4.7,60.0
43.1,39206.68,17.8,7.9,106.64,2,13.0,13.4
48.6,69800.44,26.7,9.3,94.25,3,111.1,22.9
34.3,53897.21,57.7,4.9,76.39,2,27.3,52.4
45.0,76703.26,62.3,8.1,118.36,2,22.0,12.0
38.6,67206.46,54.2,13.7,97.5,5,331.1,5.3
28.5,47788.12,33.1,8.7,123.68,2,33.6,11.4
38.6,54073.12,59.4,9.0,70.18,3,107.3,27.8
50.4,49975.28,57.2,7.9,146.91,2,9.1,10.3
34.6,79470.62,57.1,9.9,77.75,4,7.5,2.6
50.6,81701.23,38.9,11.9,92.35,5,98.4,43.2
18.0,64755.36,45.0,16.3,65.41,8,60.3,16.2
43.2,60367.3,62.7,13.1,136.7,2,188.3,39.0
35.9,47559.67,66.2,12.3,85.23,5,23.1,10.5
32.0,36041.64,37.9,9.9,85.36,2,54.4,34.1
35.9,67912.44,48.6,10.4,130.29,3,209.6,46.3
18.0,25604.14,37.3,11.9,85.91,8,47.4,32.6
32.8,95215.89,64.7,11.2,110.4,3,9.2,34.3
38.6,36704.05,34.3,7.7,111.75,3,10.7,47.3
49.8,77296.35,11.8,11.6,94.69,3,22.1,20.4
29.8,87190.93,76.0,17.8,123.37,2,7.2,5.7
26.9,65513.85,78.6,11.9,104.68,1,54.2,25.8
30.0,59499.42,40.7,12.0,90.5,4,2.9,7.2
44.2,47953.54,30.4,11.5,106.08,5,7.7,32.8
38.3,34994.63,40.4,12.0,93.06,5,38.5,49.9
29.7,71162.92,50.5,15.5,111.64,2,21.9,25.6
40.1,94229.08,75.2,12.8,69.59,3,0.9,12.4
36.0,51999.62,48.4,12.4,103.53,8,18.1,19.1
44.7,44967.93,33.6,10.7,110.13,2,5.2,15.0
28.0,20000.0,18.2,4.9,105.68,3,17.0,5.0
31.7,37763.41,56.3,10.8,102.91,7,29.6,14.7
31.1,54590.0,57.4,6.9,116.66,7,6.9,2.5
20.4,80274.35,72.0,13.6,100.9,6,15.5,14.3
38.0,75831.64,40.2,7.0,135.46,1,7.9,42.9
37.6,68190.15,80.0,8.0,111.5,2,14.7,5.1
35.1,52038.51,21.5,11.1,122.61,6,4.5,11.4
32.7,46459.99,56.6,14.8,105.54,1,23.2,19.0
20.8,76789.99,26.4,7.3,64.12,3,7.2,45.2
30.8,60649.61,38.3,9.9,93.34,2,53.8,4.8
31.6,20000.0,61.4,9.1,85.77,3,37.2,11.0
27.0,40110.99,56.5,14.8,101.42,5,0.9,10.9
33.4,41545.39,36.3,5.8,72.42,3,33.9,13.8
39.0,52307.13,39.9,14.0,94.25,2,0.3,10.2
53.9,86347.7,59.4,7.0,134.3,5,2.3,3.3
36.7,59247.72,57.5,15.9,144.53,2,86.1,11.3
37.6,60523.09,68.9,7.4,99.11,3,38.9,5.2
34.3,85673.9,50.9,14.5,123.54,4,17.9,41.2
18.0,32470.78,17.6,3.9,126.77,1,1.0,10.6
34.7,97071.88,63.5,11.2,82.65,2,115.1,9.6
35.6,47055.69,39.3,12.0,56.81,6,22.9,16.0
59.6,81489.9,36.9,11.8,63.92,3,199.4,30.8
33.1,52837.04,52.3,13.6,104.97,2,27.4,31.7
38.0,64880.76,48.3,8.4,49.75,1,0.6,9.2
34.7,68614.15,57.2,9.9,137.28,4,7.9,12.9
23.3,59327.28,36.4,9.8,42.35,6,242.1,14.1
46.4,54080.24,55.5,8.8,107.52,3,192.0,13.4
42.5,43557.17,25.3,7.3,100.67,3,73.3,33.3
42.9,116391.69,54.5,13.7,124.55,4,80.5,29.3
25.9,43045.21,41.3,11.1,128.86,7,68.8,28.0
49.0,85206.6,83.7,13.2,162.86,2,11.3,21.3
21.0,20000.0,49.8,7.5,114.7,2,0.7,5.6
40.9,59102.6,65.9,9.3,98.1,5,8.9,4.3
56.9,74979.66,75.8,10.8,122.59,8,12.5,8.3
25.1,61532.01,100.0,16.0,139.92,3,6.0,18.6
29.3,20000.0,38.6,7.9,105.33,5,108.7,6.3
36.0,64120.02,72.5,9.6,104.33,4,62.8,9.5
30.0,32977.37,57.1,14.9,138.74,3,11.9,13.9
19.5,54081.61,63.2,6.2,101.87,3,5.2,13.0
35.7,39821.92,70.6,10.5,112.31,6,17.4,32.9
24.4,34391.92,36.0,8.8,77.0,7,114.1,6.3
39.7,58316.19,42.0,10.1,124.19,2,55.4,37.9
25.8,31598.02,46.3,9.3,158.0,5,41.3,24.9
50.5,62888.79,48.1,9.4,134.07,2,27.0,45.5
27.2,29866.46,45.7,7.3,76.03,3,37.8,10.1
31.8,20760.1,61.7,11.1,90.63,2,8.4,11.6
43.1,86867.28,50.9,10.5,66.42,5,35.1,28.8
22.7,24232.11,34.7,9.7,104.98,2,13.6,32.2
37.3,58246.06,52.1,9.6,118.08,6,1.3,56.6
48.1,85514.96,54.2,8.7,90.24,2,45.5,21.5
18.9,34841.25,13.7,9.7,73.05,1,25.6,4.4
36.8,44973.75,36.8,7.8,50.83,2,3.9,7.4
37.6,66603.82,62.3,11.1,108.34,3,113.3,8.5
42.8,88613.26,80.1,15.0,102.66,3,9.3,11.2
22.6,26718.09,22.7,8.1,74.16,2,51.7,12.8
21.8,46433.39,28.5,11.4,151.49,2,47.9,20.5
40.2,29525.64,41.3,14.1,117.35,4,48.1,19.0
38.0,54511.86,17.2,8.9,87.9,3,3.4,25.5
37.5,62688.04,44.1,14.2,107.66,6,32.4,14.5
38.5,45679.09,19.7,13.0,77.24,2,148.7,23.5
28.2,45419.97,66.2,14.3,137.3,4,4.6,8.6
37.3,33693.49,30.6,10.5,88.45,3,62.8,25.1
37.9,63886.15,76.0,11.8,90.83,2,163.7,9.8
27.9,75399.07,71.3,9.6,156.43,3,14.9,20.7
53.7,52983.32,38.2,4.9,79.42,2,301.8,11.3
39.7,51337.23,31.3,4.6,146.95,3,25.0,18.1
23.1,60520.5,47.3,8.4,126.31,2,59.5,9.5
41.6,89494.24,57.3,4.9,125.64,3,9.1,16.1
25.3,22338.75,43.9,5.2,77.93,5,9.5,32.3
42.9,62920.98,39.2,16.0,136.38,4,16.2,4.7
46.6,74931.38,65.7,10.3,172.62,2,6.8,60.0
26.8,51393.41,51.4,11.6,80.35,3,30.2,20.2
44.6,20000.0,32.9,8.6,94.41,5,145.9,22.8
39.1,73324.05,43.3,8.2,79.24,3,10.7,41.6
43.2,96963.21,58.3,13.9,100.54,4,4.4,15.3
54.0,77507.58,43.0,6.1,97.23,2,71.5,60.0
32.5,37414.77,44.1,10.2,134.43,5,10.1,14.9
27.5,43707.57,46.4,7.3,67.59,2,6.3,26.1
26.1,88282.15,62.4,15.1,129.2,6,17.6,21.4
26.8,71672.77,80.0,13.0,138.98,5,5.0,19.4
34.2,72183.72,51.7,3.6,82.92,1,5.9,10.4
38.4,69857.47,68.0,9.4,114.61,2,280.0,17.2
37.8,48990.78,50.1,14.5,90.73,4,9.5,23.2
43.3,62606.04,47.2,10.4,106.66,1,43.6,32.6
35.1,58545.56,47.8,12.4,150.13,7,176.2,7.8
49.5,82619.76,55.9,11.8,86.15,3,120.5,19.9
32.4,88061.12,62.6,15.1,118.73,5,19.3,6.4
62.2,104128.12,48.8,14.4,81.41,6,45.1,5.2
41.3,36617.65,21.0,11.1,108.65,5,228.0,17.8
26.4,57622.64,59.1,8.0,117.59,2,316.9,45.4
24.3,66168.13,65.3,10.3,127.54,6,20.4,16.9
39.8,76236.99,66.1,14.3,99.83,4,26.1,18.3
32.8,45627.62,48.0,9.4,75.48,5,1.9,25.5
42.1,123994.19,80.7,15.0,80.62,3,23.9,9.3
39.7,38244.21,54.2,9.7,107.32,2,14.7,14.2
34.3,37753.6,55.1,9.8,121.0,3,22.3,10.4
26.5,57897.55,36.5,8.8,108.12,4,173.6,60.0
19.9,90217.28,42.6,10.1,119.71,3,55.3,27.8
30.5,39703.98,38.1,11.9,85.57,7,9.0,17.3
43.6,61534.62,50.2,4.5,102.71,4,7.2,25.5
37.1,83258.62,53.3,9.7,48.03,2,96.7,20.2
22.5,49676.85,18.8,9.9,85.96,2,7.7,15.8
36.7,54693.37,74.2,9.7,160.63,3,84.7,5.2
38.9,74395.2,50.2,11.5,109.75,3,8.8,13.0
26.2,58379.5,52.1,7.6,156.1,5,23.6,7.3
36.5,81838.58,75.2,10.8,128.48,2,41.4,4.7
35.6,86295.05,22.7,6.1,116.31,1,7.8,5.0
23.6,56996.3,41.4,9.1,118.52,4,30.3,30.2
38.6,68696.95,46.8,10.3,124.24,4,155.8,34.0
40.6,68768.5,47.6,13.4,111.99,3,46.7,7.7
45.8,78447.02,52.9,10.6,127.79,3,62.5,1.7
45.5,69533.83,74.6,11.7,104.58,3,12.9,45.8
21.2,48966.48,56.8,6.8,141.93,5,45.4,33.0
25.6,76429.94,69.3,12.5,153.62,1,63.1,23.5
40.2,94442.61,61.0,9.1,120.39,3,2.4,4.7
40.1,33959.23,21.2,10.1,81.6,1,21.0,14.9
40.2,64320.8,20.1,11.0,59.89,2,251.6,18.1
70.0,74226.11,31.3,7.6,105.26,1,37.3,5.1
40.7,58347.69,54.9,6.7,106.97,3,317.6,16.3
46.4,77134.85,55.6,10.8,91.66,7,42.9,8.9
44.5,81020.78,53.2,6.7,81.98,1,2.0,7.3
41.5,62968.6,45.4,16.3,76.38,3,10.1,29.7
31.8,20000.0,68.2,9.4,115.63,4,20.1,10.8
42.6,46770.84,33.7,8.7,108.93,8,9.1,34.2
27.3,71747.39,67.4,6.4,126.8,3,0.9,59.2
32.6,20000.0,38.0,8.9,179.23,3,17.4,2.9
30.1,79865.63,55.0,12.8,125.73,3,40.6,8.5
35.8,71079.59,71.0,12.5,143.3,3,11.8,28.1
58.1,104840.79,85.4,11.3,122.84,6,26.6,26.1
18.0,42428.62,41.1,10.1,65.8,5,10.7,11.7
41.9,24261.97,51.3,9.6,95.09,2,2.0,6.1
18.9,55705.53,54.2,5.7,151.84,5,92.3,34.5
30.3,81717.61,56.6,5.8,87.67,3,21.8,12.3
45.9,87206.04,61.2,15.1,112.69,5,163.5,3.1
35.6,47260.41,35.9,5.8,99.15,3,130.6,37.9
24.2,53113.26,43.3,12.2,140.29,6,38.9,18.6
27.8,43620.84,36.4,4.8,111.83,1,115.2,14.2
41.8,49051.45,60.2,12.0,125.38,4,27.2,36.2
27.7,73264.84,52.6,14.6,102.63,4,151.8,11.0
37.2,37781.02,23.9,8.2,36.04,3,46.3,4.9
35.5,42488.25,33.9,8.7,87.16,4,65.5,30.4
28.5,32706.68,1.0,7.0,79.98,3,1.1,49.8
56.4,47346.6,38.8,18.9,103.71,3,46.7,16.2
41.3,67999.64,53.0,8.6,89.47,2,29.4,16.9
18.0,69630.06,50.8,8.5,70.24,1,120.2,4.0
36.9,57794.1,79.0,15.0,138.7,6,24.1,15.6
28.4,24590.75,48.0,8.4,96.01,5,15.3,12.1
43.5,83618.36,65.0,11.3,112.31,4,41.8,4.8
27.1,87373.87,33.6,11.7,53.45,3,9.8,13.8
33.9,46157.26,40.4,13.0,94.2,3,78.4,10.4
40.0,54468.81,41.0,9.1,118.43,2,326.0,52.5
43.7,77239.25,43.4,12.2,109.59,1,180.3,28.2
23.0,82835.1,44.9,9.2,92.16,1,39.7,5.5
31.7,46927.31,19.0,4.9,76.03,7,72.7,22.9
30.3,29551.44,21.7,10.1,86.22,4,3.9,1.9
28.5,67401.74,65.3,14.3,121.71,3,10.4,39.0
52.7,90105.0,56.9,11.8,117.25,4,1.5,5.6
39.0,63362.48,43.4,11.2,115.67,3,16.8,11.4
22.4,38750.26,43.5,6.2,122.31,4,138.7,9.9
44.2,87230.47,75.7,5.8,120.68,7,46.5,28.5
56.2,87537.97,58.3,11.9,152.31,1,228.7,32.1
45.3,52891.01,56.0,14.8,124.53,3,35.5,38.2
19.8,48826.93,33.9,10.7,78.39,4,37.2,7.7
30.2,29091.98,31.4,7.6,104.09,3,12.5,25.9
47.7,83853.1,62.5,11.1,124.61,5,33.3,17.6
27.9,49093.97,75.1,12.8,136.55,7,260.0,37.0
39.4,54836.34,69.9,10.5,104.27,3,217.1,31.6
42.7,65539.58,60.4,17.0,61.39,4,10.5,14.3
25.7,53390.71,50.3,8.5,141.39,1,51.8,43.3
34.4,77422.4,76.2,18.8,115.65,4,90.9,27.5
18.0,58221.81,61.4,13.1,58.25,3,11.8,5.9
24.8,48676.71,12.2,10.6,79.2,4,19.3,14.1
32.5,73252.82,38.2,10.9,117.63,5,11.4,14.7
22.5,58032.48,54.5,9.7,80.49,1,7.4,11.6
51.3,64527.3,24.6,12.2,65.19,4,3.1,10.6
20.7,46064.51,32.4,8.6,89.94,3,12.9,39.8
30.6,53515.19,37.6,13.9,101.43,4,26.0,18.6
36.3,71151.15,49.5,15.5,90.22,4,22.9,13.4
49.4,64189.73,46.9,5.3,94.28,6,3.7,1.0
20.6,40704.92,39.9,9.0,120.23,3,45.0,28.7
46.6,108680.46,77.0,13.8,118.85,3,29.3,38.2
35.1,78876.57,51.7,9.6,68.78,5,14.1,47.2
25.2,36935.92,37.3,8.9,128.33,1,55.0,5.8
39.6,75115.65,34.3,17.7,92.53,4,21.4,28.7
37.0,63959.48,66.6,11.3,90.56,2,179.1,15.9
29.0,63029.29,40.8,11.0,95.72,7,76.2,36.3
35.7,63305.24,34.7,10.7,64.23,2,19.2,15.7
31.1,80710.34,59.4,16.0,109.95,5,225.4,34.5
36.1,67820.55,40.8,10.0,114.13,2,57.6,18.9
41.6,64055.27,43.3,6.2,87.33,4,39.6,16.0
50.9,93531.95,63.9,10.2,104.28,2,9.9,4.3
22.6,54763.18,43.5,11.2,86.96,3,7.4,34.3
56.3,79493.84,90.5,12.5,143.41,6,9.8,4.9
18.0,52680.45,46.7,8.3,97.23,7,11.7,34.6
33.5,56913.54,58.3,5.9,94.59,4,11.7,10.9
40.9,64891.08,22.3,10.1,94.79,5,21.0,46.6
37.8,50514.04,34.2,7.7,90.16,3,27.9,6.3
28.8,39995.06,27.7,7.4,90.35,3,8.9,5.6
32.9,38363.61,29.2,9.5,74.48,7,17.3,15.4
30.1,28216.33,46.7,4.3,118.87,4,34.2,9.3
29.1,37690.73,58.8,9.9,99.32,5,18.0,54.9
43.5,63311.48,56.2,5.8,100.7,2,25.2,10.5
38.6,64918.48,48.1,10.4,108.72,5,1.8,13.0
28.1,49030.79,37.2,6.9,147.66,6,48.9,21.3
44.0,20082.73,54.7,9.7,128.23,3,15.5,19.2
38.1,93950.12,91.3,13.6,108.85,2,56.4,21.3
43.1,88232.5,60.5,12.0,78.9,2,17.0,9.1
41.3,73952.23,68.3,15.4,122.22,3,27.0,13.4
26.7,91517.85,64.6,11.2,97.65,5,3.9,11.1
29.4,35971.27,54.1,7.7,101.31,2,21.3,32.9
42.5,103730.85,45.7,13.3,98.25,5,11.7,40.1
41.1,45578.68,38.4,8.9,96.4,3,8.8,7.6
34.8,64607.55,57.3,7.9,103.27,4,73.0,17.2
36.2,35461.87,60.8,13.0,98.46,3,338.4,47.6
47.8,70515.2,40.9,8.0,46.86,1,53.0,31.7
29.1,62990.76,20.4,4.0,94.84,2,268.0,18.1
40.5,61282.97,42.9,9.1,116.93,6,43.8,23.2
33.0,72660.01,68.9,17.4,90.91,7,34.4,13.2
32.8,60238.84,26.3,8.3,111.17,3,13.4,9.9
46.0,58341.92,31.8,11.6,103.61,6,19.2,16.5
43.3,55267.06,50.9,5.5,108.49,4,108.5,11.1
43.1,82726.35,55.1,11.8,112.13,3,7.2,22.5
48.1,57368.99,58.1,6.9,127.56,3,31.9,17.8
35.2,78476.09,37.1,9.9,112.15,4,41.2,7.4
41.8,89909.86,54.1,8.7,67.57,1,5.4,9.9
31.9,24143.59,57.2,5.9,140.97,5,20.6,36.5
38.2,85251.86,39.7,8.0,113.71,6,4.5,7.5
33.7,100167.31,84.2,14.2,97.28,4,22.7,7.6
36.0,65816.04,35.7,9.8,53.16,1,25.8,18.4
41.0,76742.94,67.8,12.4,83.63,4,5.4,40.1
26.8,74194.34,48.7,10.4,135.53,7,20.9,23.7
55.9,71229.45,36.2,10.8,95.31,4,2.4,10.3
24.9,55597.47,41.2,11.1,120.29,3,208.6,1.0
22.9,24002.5,47.4,12.4,154.41,2,314.0,14.2
46.6,72037.59,53.5,5.7,77.89,1,107.9,5.5
42.9,76295.54,71.7,12.6,85.98,8,25.6,8.6
41.2,75316.22,76.1,11.8,117.63,6,80.9,28.9
41.3,86335.26,40.2,12.0,107.53,2,25.2,6.4
34.9,44405.98,26.5,10.3,112.4,3,79.0,16.5
26.0,42169.83,25.1,11.3,69.33,2,16.7,33.9
35.8,98516.58,48.1,7.4,87.45,2,118.2,44.8
28.2,51576.14,64.0,10.2,146.54,1,90.5,13.9
44.8,71801.63,61.9,11.1,121.1,3,80.9,10.3
33.5,57483.34,41.1,6.1,108.39,3,22.5,40.3
26.7,36962.41,42.9,13.1,90.34,5,41.9,47.5
31.8,89899.5,80.0,7.0,152.92,5,4.9,21.3
39.1,52749.42,76.4,18.8,144.76,8,53.3,29.2
29.4,32944.49,45.8,11.3,102.14,3,29.1,11.0
26.8,44407.43,5.4,6.3,41.1,3,15.0,30.0
37.4,21915.38,43.0,15.2,125.01,3,115.6,24.6
37.4,48933.98,60.7,16.0,123.71,2,144.0,4.3
29.9,36581.88,46.3,9.3,105.45,6,60.7,5.7
30.3,68580.27,63.5,11.2,141.0,4,8.8,32.2
37.3,48388.11,51.9,7.6,117.32,5,49.6,2.7
20.5,66171.4,33.3,6.7,89.21,2,220.8,24.6
20.9,76709.97,41.7,15.1,125.89,6,18.4,4.7
27.8,69875.95,48.1,9.4,109.58,5,55.8,16.2
32.9,53984.66,64.2,12.2,135.13,4,112.3,8.8
38.1,65309.55,40.1,8.0,103.58,3,64.2,14.6
49.8,41303.15,51.2,10.6,119.63,4,15.4,14.6
43.6,64185.69,55.8,8.8,144.86,3,40.0,28.8
33.4,41511.72,68.2,16.4,149.05,4,165.1,21.2
34.8,73734.4,53.5,8.7,93.39,8,0.5,12.7
25.0,103434.81,36.7,8.8,121.56,4,17.4,23.8
34.8,69848.33,62.7,13.1,96.1,8,12.7,47.7
32.1,20000.0,70.1,9.5,134.91,1,29.3,28.7
38.2,55357.14,59.3,12.0,106.33,5,104.0,37.0
26.7,55831.97,36.9,10.8,60.76,8,237.8,9.7
40.2,65901.92,35.5,5.8,105.01,2,270.3,8.7
50.3,57645.65,35.0,5.7,123.76,1,21.5,36.1
33.9,64035.75,81.3,14.1,135.71,4,14.4,39.1
39.0,38363.68,38.6,13.9,77.72,4,51.2,13.9
41.9,46622.98,36.0,14.8,104.76,7,56.1,7.0
31.0,69706.19,50.5,10.5,101.95,6,37.7,18.8
37.2,41479.48,39.7,14.0,120.14,4,2.0,7.2
35.1,70864.97,76.8,12.8,144.24,4,61.3,5.9
36.0,33392.13,26.8,7.3,61.03,5,54.0,25.2
27.3,89112.44,76.4,12.8,120.67,2,9.7,17.7
35.2,44710.68,47.2,7.4,81.07,1,27.6,54.2
40.0,59510.65,68.0,15.4,118.94,6,71.5,26.0
49.5,78221.41,79.2,13.0,84.94,3,10.0,16.8
44.6,56367.17,50.2,16.5,103.56,4,16.2,32.8
56.5,80093.58,51.3,11.6,112.74,6,2.5,19.7
27.3,65368.35,52.6,7.6,49.11,6,14.3,37.0
43.7,86190.83,56.4,8.8,101.52,1,225.5,13.8
36.8,77296.68,30.3,6.5,57.74,3,54.9,14.5
56.9,74082.21,77.5,7.9,139.51,2,0.3,14.0
26.9,50600.98,50.9,7.5,56.87,1,21.6,26.2
26.6,100264.4,44.6,8.2,93.48,3,10.6,15.9
29.0,74202.64,23.2,12.2,124.47,4,28.8,11.3
18.0,27963.53,5.5,6.3,56.57,4,268.9,32.1
29.7,57793.72,60.9,8.0,92.1,3,17.0,3.7
27.4,47224.08,36.9,10.8,96.56,3,48.0,30.6
36.5,58496.47,42.7,8.1,102.69,1,6.9,27.1
38.4,38144.14,50.8,11.5,47.29,6,26.7,36.5
53.8,66770.9,44.3,17.2,95.6,3,16.3,10.1
44.5,103834.51,71.3,11.6,133.02,7,18.6,15.1
29.2,66966.3,53.5,7.7,160.54,3,14.2,3.7
26.0,20000.0,36.7,8.8,79.32,1,10.2,13.7
39.9,88269.82,34.9,11.7,90.04,5,4.3,2.0
21.8,71230.72,41.1,11.1,110.7,8,9.7,10.4
53.3,67465.96,61.3,13.1,90.26,2,138.7,7.0
46.8,83780.79,46.9,9.3,140.5,2,88.7,2.1
30.3,39058.61,61.8,12.1,110.01,7,1.3,1.2
18.0,36994.89,78.3,11.9,124.65,4,4.1,34.7
48.5,100801.91,72.1,13.6,129.45,5,55.9,14.9
33.9,53649.08,70.5,17.5,72.46,4,258.1,7.2
47.4,32507.9,52.6,6.6,113.15,1,245.3,38.0
19.1,45978.51,37.8,10.9,83.12,2,2.8,22.1
29.0,53633.23,51.1,13.6,83.78,3,2.2,27.2
35.1,84009.32,87.4,14.4,135.18,2,129.8,10.4
35.5,60662.57,42.3,9.1,129.4,3,51.2,11.4
30.5,47967.83,30.8,7.5,95.38,3,5.5,4.1
41.2,85883.92,40.8,9.0,138.79,8,211.6,18.4
24.3,53874.84,44.9,11.2,96.56,5,37.5,14.1
33.6,43860.51,30.1,9.5,52.0,4,105.4,13.9
36.2,84062.32,82.3,16.1,92.03,6,190.9,25.0
40.1,67988.75,55.6,11.8,145.96,2,12.5,25.0
42.1,65751.44,66.3,10.3,157.71,6,210.9,43.9
23.8,54561.03,43.9,8.2,111.02,1,29.0,18.1
19.7,26313.72,22.8,10.1,75.98,5,5.8,20.7
47.8,59668.34,30.3,10.5,87.47,1,11.7,1.8
38.3,62730.16,37.2,9.9,97.52,4,26.1,29.5
27.5,50118.83,52.2,6.6,106.48,8,1.3,14.7
50.5,97857.78,69.2,7.5,128.53,2,17.5,8.1
36.2,65273.51,60.6,9.0,118.89,3,10.9,3.7
46.8,86532.46,35.6,9.8,68.02,5,2.9,15.8
35.7,60728.05,50.2,5.5,76.91,4,3.5,12.4
55.6,97611.75,45.9,7.3,116.54,5,12.6,60.0
52.6,81993.28,62.6,11.1,101.31,2,3.9,4.9
32.5,58276.7,56.7,8.8,106.32,3,33.5,17.2
44.7,67506.91,34.7,8.7,97.76,4,4.3,26.6
41.5,46074.24,60.3,9.0,96.62,6,7.6,10.1
48.7,81087.37,91.4,12.6,129.0,3,15.6,28.6
25.4,51476.52,60.0,11.0,127.23,3,49.6,6.9
41.9,55448.57,46.2,12.3,99.86,1,23.9,28.8
45.6,90596.63,54.4,11.7,141.51,4,32.9,11.5
18.0,21395.68,35.3,17.8,136.71,2,14.7,3.4
23.2,42084.01,33.2,11.7,75.48,5,152.9,31.2
18.0,66954.37,55.9,8.8,118.15,2,38.7,8.3
32.3,64155.2,34.2,9.7,91.1,4,14.3,20.1
42.2,64783.16,23.1,6.2,72.48,3,30.2,1.0
50.0,77038.93,58.4,11.9,108.28,7,26.2,18.2
35.7,64181.04,51.6,12.6,52.4,2,115.0,15.6
51.3,42695.67,36.2,12.8,117.56,3,9.0,28.2
21.2,41973.95,25.4,8.3,114.37,6,0.6,26.7
18.0,78730.43,60.0,7.0,115.72,4,22.2,6.9
34.4,46369.14,31.1,6.6,119.69,3,8.6,7.9
38.8,56706.5,46.9,8.3,86.0,3,102.5,25.4
34.7,48906.03,73.1,17.7,46.97,3,336.1,17.1
18.0,44659.7,55.2,12.8,95.55,3,9.6,4.3
34.1,47624.58,25.8,9.3,62.44,5,331.9,28.7
22.0,59299.07,30.7,10.5,95.6,1,5.0,17.2
41.7,69303.65,55.1,9.8,143.54,1,173.1,11.7
38.7,78403.74,34.9,15.7,104.83,3,12.1,25.8
