anio,mes,hogar_id,persona_id,orden,sexo,edad,estado_civil,n_hijos,educacion,ocupacion,cond_actividad,estrato,personas_hogar,cuartos,tipo_vivienda,tenencia,agua_potable,internet,computador,movil,energia,afiliacion_salud,consultas_ano,salud_perc,actividad_fisica,dias_enfermo_30,tabaco,alcohol,felicidad,horas_semana,salario,remoto,sector,horas_internet_dia,uso_redes,compras_online,gasto_mensual,pobreza_percibida,satisfaccion_vivienda,transporte_publico,tiempo_transporte_min,region
2025,12,8731,34,3,Mujer,38.0,Casado/a,2,Primaria completa,Empleado,Ocupado,2,2,2,Casa,Arrendada,1,0.0,1,1,Red pública,Contributivo,0,2,1,0,0,1,2,45.0,543914.0,1,Comercio,4.69,0,1,424545,0,4,1,16,Caribe
2025,11,1583,35,3,Hombre,41.0,Casado/a,2,Secundaria completa,Desempleado,Desempleado,3,4,2,Conjunto cerrado,Propia,1,0.0,1,1,Red pública,Subsidiado,0,4,1,0,0,1,7,0.0,0.0,0,Servicios,3.71,1,0,415257,0,1,1,24,Bogotá
2024,6,1510,36,3,Hombre,73.0,Viudo/a,1,Ninguno,Empleado,Ocupado,4,3,3,Rural,Familiar,1,0.0,1,1,Red pública,Subsidiado,2,4,1,0,0,0,7,42.0,234545.0,0,Servicios,0.64,0,1,150959,0,2,1,20,Pacífico
2021,3,7676,37,2,Mujer,0.0,Soltero/a,1,Técnica/Tecnológica,Jubilado,Ocupado,4,4,2,Apartamento,Propia,1,1.0,0,1,Red pública,Contributivo,1,3,0,0,0,1,5,29.0,2736205.0,0,Servicios,1.9,1,0,1265605,0,1,1,10,Pacífico
2020,12,7671,38,7,Mujer,57.0,Soltero/a,2,Primaria completa,Cuenta propia,Ocupado,1,2,2,Rural,Propia,1,1.0,0,1,Red pública,Subsidiado,1,4,1,2,0,0,4,38.0,594911.0,0,Comercio,1.94,1,0,256194,0,1,1,24,Antioquia
2024,2,8695,39,5,Mujer,34.0,Viudo/a,0,Primaria completa,Cuenta propia,Ocupado,4,2,5,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,3,1,1,3,0,1,6,32.0,1051465.0,1,Tecnología,4.37,1,0,605497,0,5,1,32,Bogotá
2022,11,4473,40,2,Hombre,34.0,Soltero/a,2,Universitaria,Empleado,Ocupado,4,3,7,Casa,Arrendada,1,1.0,1,1,Red pública,Contributivo,0,4,0,1,0,0,3,38.0,3463456.0,0,Servicios,0.0,1,0,1608809,0,4,1,46,Oriente
2020,6,2198,41,6,Hombre,35.0,Divorciado/a,0,Secundaria completa,Empleado,Ocupado,5,4,3,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,3,5,1,0,0,0,6,43.0,1145262.0,0,Industria,4.24,1,0,616111,0,3,1,50,Pacífico
2022,3,4995,42,3,Hombre,9.0,Casado/a,2,Técnica/Tecnológica,Hogar,Ocupado,4,4,2,Apartamento,Ocupada,1,1.0,0,0,Red pública,Contributivo,2,1,1,4,0,0,4,47.0,1937777.0,0,Servicios,3.64,1,0,1181530,1,2,0,56,Pacífico
2020,2,5535,43,4,Hombre,36.0,Casado/a,2,Técnica/Tecnológica,Estudiante,Inactivo,1,3,3,Casa,Propia,1,1.0,0,0,Red pública,Subsidiado,1,3,1,1,0,1,10,0.0,0.0,0,Comercio,1.7,1,1,235132,0,5,1,49,Bogotá
2025,1,6871,44,5,Mujer,62.0,Soltero/a,1,Primaria completa,Estudiante,Inactivo,2,3,5,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,2,2,1,1,0,0,4,0.0,0.0,0,Comercio,2.7,1,1,139695,0,4,0,17,Bogotá
2021,8,4303,45,4,Hombre,35.0,Casado/a,0,Primaria completa,Empleado,Ocupado,3,6,5,Casa,Familiar,1,1.0,0,1,Red pública,Subsidiado,1,3,1,0,0,1,1,44.0,554831.0,0,Industria,2.77,1,1,384935,0,4,1,20,Bogotá
2023,1,3447,46,5,Hombre,37.0,Divorciado/a,0,Técnica/Tecnológica,Patrón,Ocupado,1,5,3,Rural,Propia,0,1.0,1,1,Red pública,Subsidiado,2,4,1,2,0,1,9,44.0,750026.0,0,Comercio,4.26,0,0,530519,0,5,1,31,Bogotá
2021,12,8739,47,7,Hombre,25.0,Casado/a,1,Secundaria incompleta,Empleado,Ocupado,1,4,3,Casa,Propia,1,1.0,1,1,Red pública,Subsidiado,2,5,1,1,0,1,7,50.0,539922.0,1,Comercio,4.24,1,0,271908,0,1,0,38,Pacífico
2023,5,7844,48,3,Mujer,40.0,Casado/a,1,Secundaria completa,Empleado,Ocupado,4,5,3,Rural,Propia,1,0.0,1,1,Red pública,Subsidiado,2,3,0,3,0,1,3,31.0,1355484.0,1,Comercio,3.8,0,0,842134,0,4,1,21,Caribe
2023,11,2290,49,4,Mujer,0.0,Casado/a,0,Universitaria,Estudiante,Inactivo,2,5,3,Apartamento,Propia,1,0.0,0,1,Red pública,Subsidiado,1,4,1,0,1,1,9,0.0,0.0,0,Comercio,3.44,1,0,191361,0,4,1,60,Centro
2021,6,6834,50,4,Mujer,27.0,Casado/a,1,Secundaria incompleta,Empleado,Ocupado,5,3,3,Apartamento,Arrendada,0,1.0,0,1,Red pública,Subsidiado,1,4,1,2,0,0,1,25.0,955914.0,0,Servicios,0.0,1,0,579539,1,2,1,36,Antioquia
2025,11,8549,51,5,Mujer,47.0,Casado/a,0,Secundaria completa,Cuenta propia,Ocupado,2,3,3,Casa,Propia,1,1.0,0,1,Red pública,Contributivo,1,1,1,1,0,0,2,43.0,1191465.0,1,Servicios,2.25,1,0,761648,1,1,0,42,Bogotá
2024,12,7687,52,6,Hombre,17.0,Soltero/a,2,Secundaria completa,Cuenta propia,Ocupado,3,3,4,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,1,5,0,0,0,1,1,50.0,1454682.0,0,Comercio,4.3,1,0,718275,0,5,1,8,Centro
2025,12,9693,53,6,Mujer,19.0,Divorciado/a,1,Técnica/Tecnológica,Empleado,Ocupado,2,7,2,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,1,3,0,3,0,1,4,21.0,616549.0,0,Servicios,0.71,1,0,447456,0,5,1,34,Antioquia
2025,3,8428,54,4,Mujer,32.0,Soltero/a,1,Secundaria completa,Empleado,Ocupado,5,2,3,Casa,Arrendada,1,1.0,0,1,Red pública,No afiliado,1,4,1,1,0,1,1,59.0,901729.0,0,Comercio,2.94,0,1,528318,1,2,0,27,Antioquia
2023,7,1386,55,4,Mujer,48.0,Soltero/a,1,Secundaria completa,Desempleado,Desempleado,3,4,2,Apartamento,Arrendada,1,1.0,0,1,Red pública,Subsidiado,5,4,0,0,1,1,5,0.0,0.0,0,Gobierno,3.33,1,0,284528,0,5,1,29,Antioquia
2025,2,9603,56,7,Mujer,57.0,Soltero/a,1,Secundaria completa,Desempleado,Desempleado,3,7,6,Casa,Propia,1,1.0,0,0,Red pública,Contributivo,1,3,1,2,0,1,5,0.0,0.0,0,Industria,4.21,0,0,145408,0,3,1,25,Centro
2020,7,3006,57,3,Hombre,40.0,Divorciado/a,0,Secundaria completa,Empleado,Ocupado,5,3,2,Apartamento,Propia,1,1.0,1,1,Red pública,Contributivo,3,1,0,0,0,1,8,50.0,983178.0,0,Comercio,0.18,0,0,586227,0,1,1,39,Bogotá
2021,2,6213,58,5,Mujer,35.0,Soltero/a,0,Secundaria incompleta,Empleado,Ocupado,1,4,5,Casa,Arrendada,1,1.0,0,1,Red pública,Contributivo,2,3,0,4,0,1,9,43.0,689933.0,0,Servicios,2.62,1,0,512417,0,2,0,23,Caribe
2020,5,3147,59,5,Mujer,47.0,Unión libre,0,Secundaria completa,Cuenta propia,Ocupado,1,7,4,Apartamento,Propia,1,1.0,0,1,Red pública,No afiliado,0,5,0,1,0,0,2,33.0,1346708.0,0,Industria,1.83,0,0,712984,0,4,1,12,Pacífico
2022,7,4868,60,1,Hombre,36.0,Casado/a,2,Secundaria completa,Hogar,Ocupado,6,5,1,Apartamento,Propia,1,1.0,1,1,Red pública,Otro,0,1,1,1,0,0,2,27.0,1141529.0,0,Servicios,1.17,1,0,631527,1,5,1,54,Centro
2022,11,7037,61,5,Hombre,52.0,Casado/a,0,Secundaria completa,Cuenta propia,Ocupado,5,5,5,Casa,Familiar,1,0.0,0,1,Red pública,Contributivo,2,1,1,2,0,0,5,46.0,1310954.0,0,Servicios,0.63,1,0,601672,0,3,1,11,Antioquia
2021,11,7637,62,3,Mujer,65.0,Casado/a,0,Secundaria completa,Estudiante,Inactivo,2,5,4,Apartamento,Propia,1,1.0,0,1,Red pública,Subsidiado,1,5,0,1,1,1,8,0.0,0.0,0,Gobierno,4.33,1,0,243415,0,4,0,48,Bogotá
2024,3,1352,63,4,Mujer,37.0,Soltero/a,3,Universitaria,Cuenta propia,Ocupado,3,3,7,Casa,Familiar,1,1.0,0,1,Red pública,Subsidiado,3,1,1,0,0,0,1,14.0,2590892.0,0,Industria,2.17,1,0,1343777,1,5,1,27,Antioquia
2022,11,5964,64,7,Mujer,21.0,Divorciado/a,1,Secundaria completa,Empleado,Ocupado,4,1,5,Casa,Propia,1,1.0,0,1,Red pública,Contributivo,1,4,0,0,0,0,8,38.0,1277667.0,0,Comercio,2.0,1,0,811185,0,5,1,37,Centro
2021,4,4188,65,1,Hombre,39.0,Unión libre,2,Posgrado,Empleado,Ocupado,5,4,3,Casa,Propia,1,1.0,0,0,Red pública,Subsidiado,3,4,0,1,0,1,6,42.0,2972954.0,0,Servicios,2.45,0,0,1315510,0,3,0,27,Oriente
2023,1,2302,66,7,Hombre,74.0,Soltero/a,0,Secundaria completa,Cuenta propia,Ocupado,2,3,4,Casa,Arrendada,1,1.0,0,1,Red pública,Subsidiado,2,3,1,5,0,1,10,30.0,523854.0,0,Servicios,1.44,0,1,411869,0,1,0,39,Pacífico
2020,3,8749,67,7,Mujer,45.0,Divorciado/a,0,Universitaria,Cuenta propia,Ocupado,4,1,4,Casa,Propia,1,0.0,0,1,Red pública,Contributivo,1,4,1,1,0,0,2,48.0,1537702.0,0,Comercio,3.14,1,0,898480,1,1,0,51,Caribe
2024,9,1846,68,4,Hombre,23.0,Casado/a,1,Secundaria completa,Empleado,Ocupado,2,5,3,Apartamento,Familiar,1,1.0,1,1,Red pública,Contributivo,1,5,0,0,0,0,9,53.0,286402.0,0,Servicios,3.02,0,0,265431,0,4,1,54,Bogotá
2020,10,8521,69,5,Hombre,41.0,Casado/a,2,Universitaria,Cuenta propia,Ocupado,3,3,3,Casa,Arrendada,1,1.0,1,1,Red pública,Contributivo,3,5,0,0,0,1,10,31.0,2946469.0,0,Servicios,3.94,1,1,1562813,0,1,0,34,Antioquia
2025,5,9717,70,2,Hombre,39.0,Soltero/a,2,Técnica/Tecnológica,Empleado,Ocupado,2,4,7,Apartamento,Propia,1,1.0,1,1,Red pública,Contributivo,4,4,1,1,0,0,3,44.0,1574751.0,0,Industria,1.55,1,1,863817,0,5,0,26,Pacífico
2024,8,3524,71,4,Hombre,26.0,Casado/a,2,Primaria completa,Empleado,Ocupado,2,4,4,Otro,Propia,1,1.0,0,1,Red pública,Contributivo,1,3,1,0,0,0,3,29.0,653864.0,0,Servicios,0.67,0,0,415611,1,1,0,39,Caribe
2021,2,2878,72,6,Hombre,61.0,Soltero/a,1,Primaria completa,Desempleado,Desempleado,3,6,4,Apartamento,Propia,1,1.0,1,1,Red pública,Subsidiado,2,5,0,1,1,1,2,0.0,0.0,0,Servicios,1.69,1,0,383597,1,5,0,34,Antioquia
2020,3,5105,73,5,Hombre,51.0,Casado/a,3,Universitaria,Empleado,Ocupado,2,2,1,Rural,Propia,1,1.0,1,1,Red pública,Contributivo,4,2,0,1,1,0,1,33.0,1431772.0,0,Servicios,3.29,1,1,865693,0,1,1,17,Bogotá
2024,7,4630,74,6,Mujer,60.0,Unión libre,1,Técnica/Tecnológica,Empleado,Ocupado,6,5,4,Apartamento,Propia,0,1.0,0,1,Red pública,Contributivo,0,1,0,2,0,1,2,57.0,1007345.0,0,Industria,1.36,0,0,657069,1,2,1,30,Bogotá
2024,10,8670,75,3,Mujer,0.0,Soltero/a,1,Secundaria completa,Empleado,Ocupado,3,1,4,Apartamento,Propia,1,1.0,0,0,Red pública,Subsidiado,0,2,1,0,0,0,4,37.0,852964.0,0,Servicios,0.0,1,0,527342,1,5,1,38,Bogotá
2024,4,7667,76,6,Mujer,45.0,Casado/a,1,Secundaria completa,Hogar,Ocupado,4,2,7,Apartamento,Arrendada,1,0.0,1,1,Red pública,Subsidiado,5,1,0,1,0,0,10,43.0,772032.0,0,Servicios,2.45,1,1,407105,1,5,1,14,Oriente
2024,9,3819,77,5,Hombre,41.0,Soltero/a,1,Técnica/Tecnológica,Desempleado,Desempleado,2,5,4,Apartamento,Propia,1,1.0,1,1,Red pública,Contributivo,0,2,1,0,1,0,8,0.0,0.0,0,Gobierno,2.26,1,1,405828,0,5,0,23,Caribe
2020,7,6979,78,1,Mujer,23.0,Casado/a,2,Secundaria completa,Estudiante,Inactivo,1,3,4,Apartamento,Propia,1,0.0,0,1,Red pública,Subsidiado,1,4,0,2,0,0,3,0.0,0.0,1,Tecnología,4.62,0,0,138413,1,1,0,34,Bogotá
2022,11,9077,79,6,Mujer,47.0,Soltero/a,0,Secundaria incompleta,Desempleado,Desempleado,2,5,5,Casa,Propia,0,1.0,1,1,Red pública,Contributivo,2,4,0,0,0,1,2,0.0,0.0,0,Comercio,3.99,1,0,582685,0,2,0,32,Centro
2020,12,3489,80,2,Hombre,24.0,Casado/a,2,Universitaria,Empleado,Ocupado,4,3,3,Casa,Arrendada,1,1.0,1,1,Red pública,Contributivo,1,1,0,2,0,0,10,43.0,2973328.0,0,Servicios,1.82,1,0,1449139,1,2,0,28,Centro
2025,1,6688,81,7,Hombre,13.0,Casado/a,2,Técnica/Tecnológica,Empleado,Ocupado,2,3,6,Apartamento,Propia,0,,1,1,Red pública,Contributivo,1,5,1,3,0,0,2,64.0,1076190.0,0,Gobierno,2.29,1,0,666694,0,5,0,21,Caribe
2023,4,4264,82,2,Mujer,52.0,Soltero/a,2,Técnica/Tecnológica,Hogar,Ocupado,2,4,2,Apartamento,Familiar,1,1.0,1,1,Red pública,Subsidiado,2,3,0,1,0,1,8,63.0,1642710.0,0,Industria,3.37,1,0,908023,0,4,1,24,Bogotá
2022,10,7023,83,2,Hombre,37.0,Casado/a,1,Secundaria completa,Empleado,Ocupado,4,1,4,Apartamento,Propia,1,1.0,1,1,Red pública,Contributivo,1,5,1,0,1,0,3,47.0,1301981.0,0,Gobierno,2.55,1,0,849523,1,3,1,42,Centro
2020,11,3293,84,6,Hombre,12.0,Viudo/a,2,Universitaria,Jubilado,Ocupado,4,1,2,Apartamento,Propia,1,1.0,1,1,Red pública,Contributivo,2,4,0,3,0,1,5,41.0,3459786.0,0,Servicios,1.36,1,0,1907889,0,5,0,45,Bogotá
2021,6,1674,85,3,Hombre,64.0,Soltero/a,0,Primaria incompleta,Jubilado,Ocupado,3,5,6,Apartamento,Propia,1,1.0,1,1,Red pública,No afiliado,4,4,0,1,0,0,7,32.0,491204.0,0,Servicios,2.17,1,1,312734,0,5,0,13,Antioquia
2022,6,7257,86,2,Mujer,41.0,Unión libre,1,Técnica/Tecnológica,Cuenta propia,Ocupado,1,3,3,Apartamento,Propia,1,0.0,1,0,Red pública,Contributivo,0,5,0,0,0,1,6,45.0,1612177.0,0,Servicios,5.57,0,0,1007187,0,4,1,17,Bogotá
2024,10,2011,87,4,Mujer,26.0,Casado/a,0,Posgrado,Empleado,Ocupado,4,3,3,Apartamento,Arrendada,1,0.0,1,1,Red pública,No afiliado,2,2,0,2,0,1,3,45.0,2547259.0,0,Servicios,2.95,1,1,1334739,0,4,0,39,Centro
2023,6,9985,88,7,Mujer,12.0,Divorciado/a,0,Secundaria completa,Patrón,Ocupado,3,5,5,Casa,Familiar,0,0.0,0,1,Red pública,Contributivo,2,5,1,0,0,1,6,56.0,1057513.0,1,Servicios,0.0,0,0,535761,0,3,1,5,Antioquia
2025,5,1232,89,3,Hombre,21.0,Viudo/a,4,Secundaria completa,Cuenta propia,Ocupado,5,5,3,Casa,Propia,1,1.0,0,1,Red pública,Subsidiado,2,3,0,0,0,0,2,48.0,1380503.0,0,Comercio,0.35,1,1,852246,0,1,0,16,Oriente
2022,3,4027,90,5,Mujer,12.0,Soltero/a,3,Universitaria,Hogar,Ocupado,2,2,2,Apartamento,Propia,0,1.0,0,1,Red pública,No afiliado,1,5,0,1,1,1,8,44.0,1282607.0,0,Industria,1.12,1,0,766172,0,5,0,46,Bogotá
2020,2,4609,91,1,Mujer,69.0,Casado/a,0,Primaria incompleta,Empleado,Ocupado,1,7,5,Apartamento,Familiar,1,0.0,0,1,Red pública,Contributivo,2,2,1,0,0,1,10,42.0,535108.0,0,Comercio,1.25,1,0,291988,0,3,1,18,Bogotá
2024,3,3173,92,3,Hombre,74.0,Casado/a,1,Primaria completa,Patrón,Ocupado,2,2,2,Apartamento,Arrendada,1,1.0,1,1,Red pública,Contributivo,6,3,1,1,0,1,9,35.0,590355.0,1,Industria,1.48,1,0,541096,1,1,1,15,Pacífico
2024,9,4384,93,7,Mujer,61.0,Soltero/a,2,Universitaria,Cuenta propia,Ocupado,2,6,5,Casa,Ocupada,0,1.0,1,0,Red pública,No afiliado,6,1,0,3,0,0,2,39.0,1248513.0,1,Industria,0.0,1,1,847403,0,5,1,6,Bogotá
2023,3,3328,94,7,Mujer,12.0,Unión libre,0,Técnica/Tecnológica,Empleado,Ocupado,4,7,5,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,2,1,0,0,0,1,1,33.0,1788687.0,0,Industria,0.68,1,1,965364,0,4,0,31,Pacífico
2024,3,1797,95,1,Hombre,49.0,Casado/a,2,Posgrado,Jubilado,Ocupado,1,1,2,Casa,Propia,0,1.0,0,1,Red pública,Subsidiado,3,5,1,2,1,1,1,55.0,3674060.0,0,Servicios,0.0,1,0,1774914,0,2,0,28,Antioquia
